time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-04-30,24.54,22.34,,,10.54,,,1.48,,,,88.23,Esmeraldas,0.6955,-79.224
2015-05-01,25.71,22.82,,,2.8,,,1.34,,,,85.04,Esmeraldas,0.6955,-79.224
2015-05-02,25.45,23.24,,,2.68,,,1.84,,,,88.38,Esmeraldas,0.6955,-79.224
2015-05-03,25.27,22.82,,,12.32,,,1.44,,,,87.24,Esmeraldas,0.6955,-79.224
2015-05-04,25.7,22.89,,,3.67,,,1.22,,,,85.46,Esmeraldas,0.6955,-79.224
2015-05-05,25.28,23.24,,,2.91,,,1.46,,,,89.11,Esmeraldas,0.6955,-79.224
2015-05-06,26.02,23.26,,,0.38,,,1.49,,,,85.89,Esmeraldas,0.6955,-79.224
2015-05-07,25.59,23.43,,,14.2,,,1.83,,,,88.6,Esmeraldas,0.6955,-79.224
2015-05-08,25.48,23.19,,,4.82,,,1.98,,,,87.95,Esmeraldas,0.6955,-79.224
2015-05-09,25.62,23.06,,,3.03,,,1.75,,,,86.74,Esmeraldas,0.6955,-79.224
2015-05-10,25.78,23.38,,,1.47,,,1.96,,,,87.43,Esmeraldas,0.6955,-79.224
2015-05-11,25.64,23.36,,,2.07,,,1.8,,,,88.06,Esmeraldas,0.6955,-79.224
2015-05-12,25.94,23.68,,,9.42,,,1.68,,,,88.22,Esmeraldas,0.6955,-79.224
2015-05-13,25.54,23.63,,,4.4,,,1.78,,,,89.71,Esmeraldas,0.6955,-79.224
2015-05-14,25.86,23.51,,,5.56,,,1.87,,,,87.71,Esmeraldas,0.6955,-79.224
2015-05-15,24.94,23.23,,,3.41,,,1.51,,,,90.61,Esmeraldas,0.6955,-79.224
2015-05-16,25.65,23.29,,,1.08,,,1.79,,,,87.62,Esmeraldas,0.6955,-79.224
2015-05-17,25.04,22.92,,,1.37,,,1.67,,,,88.57,Esmeraldas,0.6955,-79.224
2015-05-18,25.72,22.88,,,0.59,,,1.8,,,,85.49,Esmeraldas,0.6955,-79.224
2015-05-19,25.74,22.97,,,1.8,,,1.9,,,,85.83,Esmeraldas,0.6955,-79.224
2015-05-20,25.93,22.89,,,3.78,,,1.76,,,,84.79,Esmeraldas,0.6955,-79.224
2015-05-21,25.53,22.8,,,7.77,,,1.68,,,,86.04,Esmeraldas,0.6955,-79.224
2015-05-22,26.0,23.03,,,0.9,,,1.44,,,,84.92,Esmeraldas,0.6955,-79.224
2015-05-23,25.91,23.09,,,1.97,,,2.29,,,,85.48,Esmeraldas,0.6955,-79.224
2015-05-24,25.39,22.73,,,18.85,,,2.24,,,,86.38,Esmeraldas,0.6955,-79.224
2015-05-25,25.3,22.83,,,4.83,,,1.76,,,,87.15,Esmeraldas,0.6955,-79.224
2015-05-26,25.39,23.09,,,3.88,,,1.72,,,,87.92,Esmeraldas,0.6955,-79.224
2015-05-27,25.01,22.86,,,4.21,,,2.33,,,,88.52,Esmeraldas,0.6955,-79.224
2015-05-28,24.64,22.56,,,7.17,,,1.62,,,,88.86,Esmeraldas,0.6955,-79.224
2015-05-29,25.25,22.48,,,4.08,,,1.57,,,,85.91,Esmeraldas,0.6955,-79.224
2015-05-30,24.97,22.79,,,8.65,,,1.66,,,,88.44,Esmeraldas,0.6955,-79.224
2015-05-31,25.2,23.2,,,6.92,,,1.9,,,,89.33,Esmeraldas,0.6955,-79.224
2015-06-01,25.29,23.18,,,8.51,,,1.88,,,,88.86,Esmeraldas,0.6955,-79.224
2015-06-02,25.24,22.83,,,3.18,,,2.02,,,,87.42,Esmeraldas,0.6955,-79.224
2015-06-03,25.32,22.8,,,0.59,,,2.09,,,,86.88,Esmeraldas,0.6955,-79.224
2015-06-04,24.94,22.4,,,10.75,,,2.14,,,,86.81,Esmeraldas,0.6955,-79.224
2015-06-05,24.51,22.58,,,12.39,,,1.89,,,,89.56,Esmeraldas,0.6955,-79.224
2015-06-06,24.77,22.36,,,1.84,,,1.81,,,,87.38,Esmeraldas,0.6955,-79.224
2015-06-07,24.62,22.14,,,2.33,,,1.99,,,,87.0,Esmeraldas,0.6955,-79.224
2015-06-08,24.71,21.76,,,4.67,,,1.49,,,,84.99,Esmeraldas,0.6955,-79.224
2015-06-09,25.07,21.6,,,0.56,,,1.33,,,,82.44,Esmeraldas,0.6955,-79.224
